Code,Language,Type,URL,Comment,SHA
ADCIRC,Fortran,OnlyPerRequest,https://adcirc.org/,,
ADIOS,C++,git,https://github.com/ornladios/ADIOS2.git,,8ce4ff9bd43091f76de5f12dac1a19d7ddd49be1
AMG,C,git,https://github.com/LLNL/AMG.git,,3ada8a128e311543e84d9d66344ece77924127a8
ASPA,C++,git,https://github.com/exmatex/ASPA.git,,64634d0e4d1043f423b811d2cc55f340c18b6cf7
BioEM,C++,git,https://github.com/bio-phys/BioEM.git,,94f59b7244aab6bc85f60a9f33aa9e570fe63a55
CFDEMcoupling,C+,git,https://github.com/CFDEMproject/CFDEMcoupling-PUBLIC.git,,b23726463721d5d83c419b8c0b612950e6c4c7c8
CGM,C++,git,https://github.com/cbaziotis/cgm.git,Not shure if correct one,fc8b740f17abaecd7777105eb4b8552be84bb2a7
CLAMR,C++,git,https://github.com/lanl/CLAMR.git,,449f29cfe4742420c5a907efd5d6410718bf2acc
Cactus,?,ExoticProcess,http://www.cactuscode.org/download/index.html,,
Caffe-MPI,C++,git,https://github.com/Caffe-MPI/Caffe-MPI.github.io.git,,df5992af571a2a19981b69635115c393f18d1c76
Chatterbug,C,git,https://github.com/hpcgroup/chatterbug.git,,56544d9624b5b4ee31ecf6ed5ba72bab9273d90e
Chombo,C++,git,https://github.com/GRChombo/Chombo.git,,8684f2e000106f1abadb72642e1d15351867f98f
CloverLeaf,Fortran,git,https://github.com/UK-MAC/CloverLeaf_MPI.git,,a675f0d63ea72ef386c7c497b08d1e6ca4f89479
CoMD,C,git,https://github.com/ECP-copa/CoMD.git,,3d48396b77ca8caa3124bc2391f9139c3ffb556c
CoSP2,C,git,https://github.com/exmatex/CoSP2.git,,3e07ada091a74c47de810c2df9747bebc12848d5
Code_Saturne,C,git,https://github.com/code-saturne/code_saturne.git,,78d651c8a620aa2c17bc9ee88555004d486bf3fa
Comb,C++,git,https://github.com/LLNL/Comb.git,,e0a74ee38f6e69ba4e9915c57dc9ad5249a8b687
CoreNeuron,C++,git,https://github.com/BlueBrain/CoreNeuron.git,,3a49f4b85a974a61812c2ff5a26adda2802b79ab
E3SM,Fortran,git,https://github.com/E3SM-Project/E3SM.git,,87adaa36ee049565ed428baf420dc1a718c85225
EigenExa,Fortran,tar.gz,https://www.r-ccs.riken.jp/labs/lpnctrt/projects/eigenexa/EigenExa-2.12.tar.gz,,6df92aaff24819fb7409c66da0483793e80b1630
Elemental,C++,git,https://github.com/elemental/Elemental.git,,6eb15a0da2a4998bf1cf971ae231b78e06d989d9
Enzo,C,git,https://github.com/enzo-project/enzo-dev.git,,7e45f9e709c631a3d4134997b2cf3d5286c7009c
ExaMiniMD,C++,git,https://github.com/ECP-copa/ExaMiniMD.git,,65e61ac69fa27ff47fedd5528989a5272e3d8022
FLASH,Fortran,OnlyPerRequest,https://flash.rochester.edu/site/flashcode/,,
GTC,C,OnlyPerRequest,https://extremescaleglobalpic.princeton.edu/gtcp,,
GADGET-2,C,tar.gz,https://wwwmpa.mpa-garching.mpg.de/galform/gadget/gadget2.tar.gz,,42cf26c662bb167ec89dd6829fa8d955e94857d1
Gamess,?,OnlyPerRequest,https://www.msg.chem.iastate.edu/GAMESS/developers.html,,
Genesis,Fortran,git,https://github.com/genesis-release-r-ccs/genesis.git,,cda9cbb879037643d9c843f4d2f7e37d1dfa825d
Gizmo,C,git,https://bitbucket.org/phopkins/gizmo-public.git,,c12bd8add5622fc56aeb34f90a59e98108c496b3
Gromacs,C++,git,https://github.com/gromacs/gromacs.git,,06bde7c0252585d0509c30682af42232f9d49169
HPCG,C++,git,https://github.com/hpcg-benchmark/hpcg.git,,f14f0c708966e54beb61844b08b8afd90f9a771b
HPGMG,C,git,https://bitbucket.org/hpgmg/hpgmg.git,,a93ff2376fbcd01a0939f03bf8c77b9800d45a50
HYPRE,C,git,https://github.com/hypre-space/hypre.git,,991f2e15eb0aff146a9ab1565dc61acd62f3719f
HemeLB,C,tar.gz,http://hemelb.org.s3-website.eu-west-2.amazonaws.com/files/hemelb-v0.8.tar.gz,,8896daa192ddae594bd4debc5369637370175a16
Kratos,C++,git,https://github.com/KratosMultiphysics/Kratos.git,,9662fdb6f02d73775f6933973d160f34c1f2dc3a
Kripke,C++,git,https://github.com/LLNL/Kripke.git,,d64fe1702e731a3986e0e3ea14ad3cb722d9ae6b
LAMMPS,C++,git,https://github.com/lammps/lammps.git,,15116a04567ce7ea2c5a00635d0f421d64f31894
LULESH,C++,git,https://github.com/LLNL/LULESH.git,,3e01c40b3281aadb7f996525cdd4a3354f6d3801
Laghos,C++,git,https://github.com/CEED/Laghos.git,,c5d31dfded9e6f4a9fec7d212fe939dabea09934
MACSio,C,git,https://github.com/LLNL/MACSio.git,,7f19af30b7753d2980fd6b833e831ff4b42b4fb0
MCB,C++,git,https://github.com/arm-hpc/mcb,Probably this: https://proxyapps.exascaleproject.org/app/mcb/,495fab1e591c214057e23b073009efcba4f0e625
MPIgcm,Fortran,git,https://github.com/MITgcm/MITgcm.git,,8c2ab294fc08c74ca340d71bab7ac9153c84c207
MLSL,C++,git,https://github.com/intel/MLSL.git,,aef20f7b664a2cea794294d0609a1df0628302a8
MOAB,C++,git,https://bitbucket.org/fathomteam/moab.git,,5a32d20727fad26b73a6f53b3a05b65f9ecbc4f3
MUMPS,?,OnlyPerRequest,https://mumps-solver.org/index.php?page=dwnld,,
MeshKit,C++,git,https://bitbucket.org/fathomteam/meshkit.git,,4824cec62842b7e21c7ebd6096351e74b535932c
NAMD,C++,OnlyPerRequest,https://www.ks.uiuc.edu/Research/namd/gitlabrequest.html,,
NWChem,Fortran,git,https://github.com/nwchemgit/nwchem.git,,d681ac3cc4741fb5e80555be69f6b0696306e5a2
Neckbone,Fortran,git,https://github.com/AMDComputeLibraries/Nekbone.git,,ed71897529c0da634b893150b02d8d617ba43567
Nek5000,Fortran,git,https://github.com/Nek5000/Nek5000.git,,a34bef7a6af8d1edd5e920891dc9699f7f8772ee
Nyx,C++,git,https://github.com/AMReX-Astro/Nyx.git,,8613f29b7a83298582c14b966f8a6a8210dc903a
OpenFoam,C,git,https://develop.openfoam.com/Development/openfoam.git,,868d6dd77875772f81fb4277359ecd32e99cdd2a
OpenMD,C++,git,https://github.com/OpenMD/OpenMD.git,,b2457a9b31f38f554027eaa96e947138c58950be
PENNANT,C++,git,https://github.com/lanl/PENNANT.git,,d7b770ecd5cc75bbb768554fcd9b2977e65b6e06
PICSAR,Fortran,git,https://github.com/ECP-WarpX/picsar.git,,1903ecfff51a31a321d39790af90d8520c10537e
Paradis,C,???,http://paradis.stanford.edu/,,
PlasmaApp,C++,git,https://github.com/cocomans/plasma,,b1b95400980090fa169e00368fadfe01d2ad41b7
PrincetonCBEMDMPI,C++,git,https://github.com/PrincetonUniversity/PrincetonCBEMDMPI.git,,69fd56b9baf482426a5962beb0b146c97aa3985e
ProfugusMC,C++,git,https://code.ornl.gov/ProfugusMC/ProfugusMC.git,,16b4205c58a4134484fc5e139fae5ff5784f4e7a
QBox,C++,git,https://github.com/qboxcode/qbox-public.git,,51a2cd8c0de2d7df12aa699bfa36bd1596748acb
Qmcpack,C++,git,https://github.com/QMCPACK/qmcpack.git,,8ea0d49e0cb0fbbd158f3068698857f97e4b107a
Quantum_Espresso,?,OnlyPerRequest,https://www.quantum-espresso.org/,,
SCOREC,C++,git,https://github.com/SCOREC/core.git,,8436909d489f6d99a199239ff835d82dd94381c2
SNbone,Fortran,git,https://github.com/ANL-CESAR/SNbone.git,,dc2c25d51af12933070fd559d933431dd146a035
SPPARKS,C,git,https://github.com/spparks/spparks.git,,bc8e328ca2bd3f79643659f197464c09f76f59e3
SW4lite,C,git,https://github.com/geodynamics/sw4lite.git,,06b888cd991c61e4b0168ec31b55e9af4135843a
SWFFT,C,git,https://git.cels.anl.gov/hacc/SWFFT.git,,203c595f52595d62ba42e6f86f58d1f45bb056b0
Samrai,C++,git,https://github.com/LLNL/SAMRAI.git,,d0e1ed43eb204761eed43b76001969f945d6358f
ScaLAPACK,Fortran,git,https://github.com/Reference-ScaLAPACK/scalapack.git,,2072b8602f0a5a84d77a712121f7715c58a2e80d
Scale,?,?Paid?,https://www.ornl.gov/content/how-order-scale,,
SimpleMOC,C,git,https://github.com/ANL-CESAR/SimpleMOC.git,,4c51b8cb820cde735b79bd3496b34b1aa18537f2
TCLB,C++,git,https://github.com/CFD-GO/TCLB.git,,1bbefc0a154074a01fe1dd556ea41ea89346d51a
Trilinos,C++,git,https://github.com/trilinos/Trilinos.git,,b95d382c8faab6dca66e70d2098181f3846723d8
Tycho2,C++,git,https://github.com/lanl/tycho2.git,,4564c1fe9c0ef9eafd656854a81e4b4010b5a429
VMD,?,OnlyPerRequest,https://www.ks.uiuc.edu/Development/Download/download.cgi?PackageName=VMD,Needs registration,
VPFFT,C++,git,https://github.com/exmatex/VPFFT.git,Does it use MPI only indirectly?,3929dfc882672e05e890468048b639eb6f078fb8
